ax,ay,az,gx,gy,gz
14732,16368,-1184,75,650,111
12204,3588,3076,410,-378,-350
15164,10236,2244,-341,131,-22
8392,2004,1288,-104,-880,-264
14160,9796,4280,338,543,513
18308,9852,5444,-376,-238,64
15856,7752,5772,177,362,517
13348,13172,948,-212,280,-361
17348,9988,10116,556,182,-268
16364,9212,-76,-364,294,-273
12028,3908,5484,122,-281,-236
12304,11628,-2176,-292,245,-15
14716,7688,5328,387,159,84
19944,12008,7436,-347,690,495
12452,5680,4524,114,-459,-429
14264,12296,1824,87,669,-251
12832,4604,5772,357,-581,-361
16048,10304,6524,-354,329,570
12896,5416,6008,-43,-417,-96
13192,12256,404,-119,525,-10
14096,4936,6004,460,-208,-164
15556,9416,1440,-259,363,21
11372,2740,4400,184,-287,-179
12132,13432,-3984,-257,416,144
14688,7976,2232,487,170,189
17972,9812,7956,-308,-247,-203
13552,4824,3312,68,-7,-90
10056,5760,3592,-168,-450,-245
15480,11284,4948,223,522,581
14808,7192,7176,99,-225,-244
16252,10760,2796,-97,277,348
9864,2992,5072,111,-918,-382
14068,11600,3688,-268,376,35
15100,8976,5048,372,-122,174
16124,11064,-3956,-274,489,-43
12856,4840,5040,145,-278,-126
9460,8220,-572,-216,-270,-414
12804,7200,3620,336,479,436
14848,9060,5068,-157,-290,-77
17212,10368,2936,-87,191,390
10260,4916,2884,-161,-700,-912
12308,9032,2732,177,564,243
13004,5076,2032,167,-149,149
17144,12356,196,-348,522,501
12112,6416,568,205,-475,-233
14172,13180,1940,-68,460,-426
12640,5416,3996,411,-233,-117
16188,9836,-1068,-469,207,579
12996,6276,5992,96,-251,229
11400,8200,-1576,-71,190,-322
13884,9932,3040,477,338,-185
13788,6648,4212,-376,-444,-93
16116,8480,5716,-1,29,694
12096,9632,84,-275,97,-559
15572,10580,5688,430,91,-185
15864,8928,4684,-309,-91,-357
12512,4480,5196,-58,-305,281
12904,11480,5108,-134,247,353
14628,7916,716,404,251,-143
16592,8440,-1524,-234,301,48
10768,2892,3648,90,-608,-514
11992,11176,-2968,-246,482,6
14548,7276,5288,317,-5,-7
19724,12432,6964,-311,777,415
12316,4128,5448,225,-565,-189
13048,10596,-2088,46,676,-434
13448,5464,6796,362,-265,-189
16400,11840,1628,-367,559,671
11112,4924,656,5,-587,-37
13884,15720,-1880,54,499,50
13500,6916,3424,389,-357,-537
15480,10192,2696,-250,213,293
14116,6696,7196,-28,-34,-193
12700,12892,-1336,-129,170,425
17308,10664,10620,456,307,-218
16484,8956,-832,-245,260,-142
12888,5120,6400,65,-671,-55
9136,7984,-2604,-307,-379,-114
14512,10028,3932,467,402,597
14500,8452,1380,-336,-217,-168
16788,7824,5760,90,-33,426
8648,5240,-1884,-224,-299,-886
14996,10496,8992,267,143,620
12244,5964,4120,-216,-609,14
17464,10940,5172,-172,294,522
12880,8696,2956,-69,-204,-649
12512,9048,544,460,911,7
12740,6232,5920,208,-393,-277
15396,8244,1556,-290,421,468
10924,4924,-164,-80,-146,-252
17000,13420,6124,281,856,321
16136,9740,7320,-108,-261,-452
16612,7660,2840,112,303,280
13156,9000,4088,-331,-529,-1047
14420,8508,9064,402,-131,63
16764,8528,3800,-415,143,-39
12236,3704,5108,-125,-367,260
14300,13676,2612,-216,215,314
12544,6424,180,398,107,25
17548,12728,1720,-208,579,525
11860,8452,2080,56,-457,-470
11876,8480,-2540,398,359,322
12380,6704,2068,-63,-338,-507
13436,6300,4248,20,-154,525
7380,6400,-4376,-228,-115,-161
13752,7764,5580,360,281,342
17460,9552,3480,-345,339,312
11676,5252,3216,123,-164,314
12456,11868,-1112,-14,753,-43
14616,5424,4604,499,-306,-171
15004,8396,216,-227,226,257
9920,2808,1568,23,-659,-615
12956,10724,3528,236,273,190
12212,5464,6076,-36,-763,-62
15952,8360,5464,-128,148,601
9368,8644,-2672,-291,167,-22
14512,10208,5888,487,273,594
16396,10024,-1224,-356,250,375
12400,5644,5176,40,-202,-57
15480,16456,5300,-105,424,-120
13648,7788,956,234,-152,-356
17268,9232,2520,91,365,406
13352,9532,3308,-276,-388,-809
15392,10556,6952,416,24,-487
15940,10104,2496,-350,350,-117
9444,2116,2672,55,-868,-445
12560,9668,5184,88,489,227
11392,4436,3060,-60,-681,-108
13848,6460,2744,-116,159,546
10152,9736,-1724,-318,-371,216
15828,8020,6048,330,-56,185
18872,12760,7532,-270,722,709
13432,6720,4704,-133,-236,-521
14748,11848,2848,317,561,295
13264,8232,-1100,-285,-543,-164
13248,5668,5712,207,-397,92
13076,11044,1352,44,521,-195
15624,6028,8520,193,-537,-656
15848,8864,3460,-212,51,71
9172,5444,1532,-134,-333,-377
14220,7924,8848,336,80,303
16560,7712,1772,-428,504,225
11336,4968,2640,40,-255,55
13748,14300,1088,-91,271,318
13052,7776,2332,146,-277,-189
17104,10676,3100,-40,464,221
12592,11248,-1788,-177,160,-494
14488,6160,4192,533,150,-346
15152,8604,-564,-245,327,171
11928,6000,5912,-61,-752,-792
12808,11016,3840,319,19,487
16140,8928,4376,-298,-422,-251
12488,4064,5296,44,-392,81
13164,11644,132,-220,491,9
13676,5620,3012,112,-51,44
16784,9968,6164,-184,305,753
11492,8128,1984,-166,31,72
14224,7436,2664,410,-68,193
17376,12264,516,-296,820,411
13176,8044,3148,-148,-476,-578
